REPOSITORY                      TAG       IMAGE ID       CREATED        SIZE
booking-service-t4              latest    119be106ff3e   8 hours ago    297MB
booking-service                 latest    119be106ff3e   8 hours ago    297MB
task3-hotel-subgraph            latest    b0821e3a601f   33 hours ago   1.15GB
task3-promo-subgraph            latest    d6af9ed721f0   34 hours ago   1.15GB
<none>                          <none>    5569b891cf7a   34 hours ago   1.15GB
<none>                          <none>    42480b4a6d17   34 hours ago   1.15GB
<none>                          <none>    871db3b33a74   34 hours ago   1.15GB
<none>                          <none>    9f50bc1028bb   47 hours ago   1.15GB
<none>                          <none>    2fb3371327ff   2 days ago     1.15GB
task3-booking-subgraph          latest    75b577f807b2   2 days ago     1.15GB
<none>                          <none>    89c19f6807f5   2 days ago     1.15GB
task3-apollo-gateway            latest    0402a31dad25   2 days ago     1.18GB
<none>                          <none>    d355d6b01ec2   2 days ago     1.15GB
<none>                          <none>    ad206ecea2d2   2 days ago     1.15GB
<none>                          <none>    486cfb76e6f5   2 days ago     1.18GB
<none>                          <none>    70b3c9535fb1   2 days ago     1.15GB
<none>                          <none>    d88240d21251   2 days ago     1.15GB
<none>                          <none>    731b69f76977   2 days ago     1.18GB
<none>                          <none>    88189c0e95d2   2 days ago     1.15GB
<none>                          <none>    59c5dec47d24   2 days ago     1.18GB
<none>                          <none>    cbd297bd4091   2 days ago     1.15GB
<none>                          <none>    a6a518b4e4be   2 days ago     1.15GB
<none>                          <none>    cc820434d5c9   2 days ago     1.15GB
<none>                          <none>    4cc69342204e   2 days ago     1.15GB
<none>                          <none>    b2a9656963d5   3 days ago     1.15GB
<none>                          <none>    876347f01d87   3 days ago     1.15GB
<none>                          <none>    80734aa3f5d5   3 days ago     1.15GB
<none>                          <none>    1b315f9d69a4   3 days ago     1.15GB
<none>                          <none>    e121a3982293   3 days ago     1.15GB
<none>                          <none>    ca5f0bdfa309   3 days ago     1.15GB
<none>                          <none>    613beaf6f825   3 days ago     1.15GB
<none>                          <none>    ce5a7af99408   3 days ago     1.15GB
<none>                          <none>    27c166814d00   3 days ago     1.15GB
<none>                          <none>    1fd39462220b   3 days ago     1.18GB
<none>                          <none>    db773ba58564   3 days ago     1.15GB
<none>                          <none>    79708a2a075d   3 days ago     1.18GB
<none>                          <none>    4bdf0c16d0e4   3 days ago     1.15GB
<none>                          <none>    75773077bac0   3 days ago     1.15GB
<none>                          <none>    7ccd676137e2   3 days ago     1.18GB
<none>                          <none>    94f34f5ed343   3 days ago     1.15GB
<none>                          <none>    668c9246f814   3 days ago     1.15GB
gcr.io/k8s-minikube/kicbase     v0.0.49   df72754dcb7f   5 days ago     1.35GB
<none>                          <none>    eab8aa4d9d62   5 days ago     1.15GB
<none>                          <none>    04bb51e2cece   5 days ago     1.15GB
<none>                          <none>    24357d7f5684   5 days ago     1.15GB
<none>                          <none>    fb4ec1539a2a   5 days ago     1.15GB
<none>                          <none>    1b1a6120aa04   5 days ago     1.15GB
<none>                          <none>    f26cc8d38693   6 days ago     1.15GB
<none>                          <none>    6a32e4e58d65   6 days ago     1.18GB
<none>                          <none>    aeb8f8da7dbe   6 days ago     1.15GB
<none>                          <none>    c86c470d808c   6 days ago     1.15GB
task2-booking-history-service   latest    2c64bddbba19   7 days ago     439MB
task2-booking-service           latest    09b6ca71ad1e   7 days ago     439MB
<none>                          <none>    0b467ae52804   7 days ago     439MB
<none>                          <none>    9ace9456ee73   7 days ago     439MB
<none>                          <none>    5ab0fd2e4a8e   7 days ago     439MB
<none>                          <none>    e09b4a20c013   7 days ago     439MB
<none>                          <none>    8b730dfb6097   8 days ago     439MB
<none>                          <none>    a6c3954f092b   8 days ago     439MB
<none>                          <none>    be317fa6f60d   8 days ago     439MB
<none>                          <none>    e5d1caca3174   8 days ago     439MB
<none>                          <none>    5848ec4d5ab6   8 days ago     439MB
<none>                          <none>    51bf21d9bd78   8 days ago     439MB
<none>                          <none>    17ea3db9d0be   8 days ago     439MB
<none>                          <none>    e2e8358e83e4   8 days ago     439MB
<none>                          <none>    b50d6f87cbd8   8 days ago     439MB
<none>                          <none>    4ebda7312369   8 days ago     439MB
<none>                          <none>    7892e7a02d94   8 days ago     439MB
<none>                          <none>    e42c39837efe   8 days ago     439MB
<none>                          <none>    75c618704759   8 days ago     439MB
<none>                          <none>    2d1e523e3c95   8 days ago     439MB
<none>                          <none>    032863d7ad78   8 days ago     439MB
<none>                          <none>    fddb876440ee   8 days ago     439MB
<none>                          <none>    ff90c63f078d   8 days ago     439MB
<none>                          <none>    60080ed06749   8 days ago     439MB
<none>                          <none>    e9ee4414951c   8 days ago     439MB
<none>                          <none>    e7d01a50e839   8 days ago     439MB
<none>                          <none>    770337daebb0   8 days ago     439MB
<none>                          <none>    47cdbd354c1c   8 days ago     439MB
<none>                          <none>    75f45f48ecae   8 days ago     439MB
<none>                          <none>    f3f206a8505a   8 days ago     439MB
<none>                          <none>    c0b602ffb116   8 days ago     439MB
hotelio-tester                  latest    b741c702daa7   8 days ago     91.8MB
<none>                          <none>    a848e8d83e0d   8 days ago     427MB
task2-monolith                  latest    69f781bef77a   2 weeks ago    478MB
task1_monolith                  latest    b8467a9595f1   2 weeks ago    478MB
task1-monolith                  latest    e0942c32e0af   2 weeks ago    478MB
postgres                        15        7064d8f3d970   2 weeks ago    444MB
confluentinc/cp-kafka           7.2.1     d893473a6510   3 years ago    782MB
confluentinc/cp-zookeeper       7.2.1     3f28db6a433d   3 years ago    782MB
